FILE,STRATEGY,TP_SL, END_BALANCE__1 , END_BALANCE__2 , END_BALANCE__3 ,WIN_RATE__1,WIN_RATE__2,WIN_RATE__3, NBR_TRADES__1 , NBR_TRADES__2 , NBR_TRADES__3 , MAX_END_BALANCE 
DOGEUSDT -- 4H -- amazon/chronos-t5-small,1  --  3  --  STOCH_40,TP_AI_2  --  SL_AI_1, 2 , -   , 1 ,42%,50%,38%, 69 , 92 , 92 , 2 
XRPUSDT -- 4H -- amazon/chronos-t5-large,0.5  --  4  --  AVG_VOL_P_GAIN_2_1,TP_AI_1  --  SL_AI_1, 2 , 2 , 1 ,81%,49%,70%, 779 , 955 , 955 , 2 
XRPUSDT -- 4H -- amazon/chronos-t5-large,0.5  --  4  --  AVG_VOL_P_GAIN_2_1,TP_AI_1  --  SL_ATR_1, 2 , 2 , 2 ,86%,49%,72%, 708 , 955 , 955 , 2 
XRPUSDT -- 4H -- amazon/chronos-t5-large,0.75  --  4  --  ALL,TP_AI_1  --  SL_ATR_1, 1 , 0 , 2 ,79%,48%,68%, 547 , 752 , 752 , 2 
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.5  --  5  --  AVG_VOL_P_GAIN_2_1,TP_AI_1  --  SL_AI_1, 1 , 2 , 1 ,81%,49%,70%, 780 , 956 , 956 , 2 
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.5  --  5  --  AVG_VOL_P_GAIN_2_1,TP_AI_1  --  SL_ATR_1, 2 , 2 , 2 ,86%,49%,72%, 708 , 956 , 956 , 2 
ADAUSDT -- 4H -- amazon/chronos-t5-small,1  --  10  --  AVG_VOL_P_GAIN_1_2,TP_AI_1  --  SL_ATR_1, 0 , 0 , 2 ,77%,47%,66%, 436 , 596 , 596 , 2 
XRPUSDT -- 4H -- amazon/chronos-t5-large,0.5  --  5  --  AVG_VOL_P_GAIN_2_1,TP_AI_1  --  SL_AI_1, 1 , 2 , 1 ,81%,49%,70%, 780 , 956 , 956 , 2 
XRPUSDT -- 4H -- amazon/chronos-t5-large,0.5  --  5  --  AVG_VOL_P_GAIN_2_1,TP_AI_1  --  SL_ATR_1, 2 , 2 , 2 ,86%,49%,72%, 708 , 956 , 956 , 2 
ADAUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  4  --  AVG_VOL_P_GAIN_1_1,TP_AI_2  --  SL_AI_1, 2 , -   , 1 ,31%,56%,31%, 52 , 59 , 59 , 2 
ADAUSDT -- 1D -- amazon/chronos-t5-large,1  --  4  --  ALL,TP_AI_2  --  SL_AI_1, 2 , -   , 2 ,31%,59%,32%, 52 , 59 , 59 , 2 
ETHUSDT -- 4H -- amazon/chronos-t5-large,1  --  10  --  ALL,TP_AI_2  --  SL_ATR_2, 2 , 1 , 0 ,42%,51%,52%, 296 ," 2,703 "," 2,703 ", 2 
DOGEUSDT -- 4H -- amazon/chronos-t5-large,1  --  3  --  AVG_VOL_P_GAIN_2_1,TP_AI_1  --  SL_AI_1, 1 , -   , 2 ,70%,47%,68%, 321 , 348 , 348 , 2 
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.5  --  10  --  AVG_VOL_P_GAIN_2_1,TP_AI_1  --  SL_AI_1, 1 , 2 , 1 ,81%,49%,70%, 781 , 957 , 957 , 2 
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.5  --  5  --  STOCH_10,TP_AI_1  --  SL_ATR_1, 0 , 0 , 2 ,81%,49%,69%, 772 ," 1,112 "," 1,112 ", 2 
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.5  --  10  --  AVG_VOL_P_GAIN_2_1,TP_AI_1  --  SL_ATR_1, 2 , 2 , 2 ,86%,49%,72%, 706 , 957 , 957 , 2 
DOGEUSDT -- 4H -- amazon/chronos-t5-small,0.5  --  10  --  STOCH_20,TP_AI_1  --  SL_ATR_1, 0 , -   , 2 ,83%,51%,70%, 654 ," 1,019 "," 1,019 ", 2 
XRPUSDT -- 4H -- amazon/chronos-t5-large,0.5  --  10  --  AVG_VOL_P_GAIN_2_1,TP_AI_1  --  SL_AI_1, 1 , 2 , 1 ,81%,49%,70%, 781 , 957 , 957 , 2 
XRPUSDT -- 4H -- amazon/chronos-t5-large,0.5  --  5  --  STOCH_10,TP_AI_1  --  SL_ATR_1, 0 , 0 , 2 ,81%,49%,69%, 772 ," 1,112 "," 1,112 ", 2 
XRPUSDT -- 4H -- amazon/chronos-t5-large,0.5  --  10  --  AVG_VOL_P_GAIN_2_1,TP_AI_1  --  SL_ATR_1, 2 , 2 , 2 ,86%,49%,72%, 706 , 957 , 957 , 2 
BTCUSDT -- 4H -- amazon/chronos-t5-large,0.5  --  10  --  STOCH_10,TP_AI_2  --  SL_ATR_2, 2 , 0 , 0 ,41%,50%,51%, 273 ," 2,798 "," 2,798 ", 2 
ADAUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  3  --  AVG_VOL_P_GAIN_2_1,TP_AI_1  --  SL_ATR_1, 0 , 0 , 2 ,83%,49%,73%, 532 , 677 , 677 , 2 
ETHUSDT -- 4H -- amazon/chronos-t5-large,0.5  --  4  --  STOCH_20,TP_AI_2  --  SL_AI_1, -   , 2 , -   ,34%,52%,28%, 330 ," 1,071 "," 1,071 ", 2 
ADAUSDT -- 4H -- amazon/chronos-t5-large,0.5  --  5  --  ALL,TP_AI_2  --  SL_ATR_2, 1 , -   , 2 ,61%,51%,53%, 376 ," 1,596 "," 1,596 ", 2 
BTCUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  4  --  ROC_3,TP_AI_2  --  SL_AI_1, 2 , -   , 2 ,20%,52%,20%, 25 , 25 , 25 , 2 
BTCUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  4  --  ROC_3,TP_AI_2  --  SL_AI_1, 2 , -   , 2 ,20%,52%,20%, 25 , 25 , 25 , 2 
BTCUSDT -- 1D -- amazon/chronos-t5-small,1  --  4  --  ROC_3,TP_AI_2  --  SL_AI_1, 2 , -   , 2 ,20%,52%,20%, 25 , 25 , 25 , 2 
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  5  --  ALL,TP_AI_1  --  SL_ATR_1, 1 , 0 , 2 ,79%,48%,68%, 548 , 756 , 756 , 2 
DOGEUSDT -- 4H -- amazon/chronos-t5-small,1  --  5  --  STOCH_20,TP_AI_1  --  SL_AI_1, 1 , -   , 2 ,68%,53%,66%, 338 , 393 , 393 , 2 
XRPUSDT -- 4H -- amazon/chronos-t5-large,0.75  --  5  --  ALL,TP_AI_1  --  SL_ATR_1, 1 , 0 , 2 ,79%,48%,68%, 548 , 756 , 756 , 2 
AVAXUSDT -- 4H -- amazon/chronos-t5-large,0.75  --  4  --  AVG_VOL_P_GAIN_1_2,TP_AI_1  --  SL_AI_1, 2 , -   , 1 ,78%,49%,68%, 825 ," 1,015 "," 1,015 ", 2 
ADAUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  4  --  AVG_VOL_P_GAIN_1_2,TP_AI_2  --  SL_AI_1, 2 , -   , 1 ,35%,38%,29%, 57 , 69 , 69 , 2 
BTCUSDT -- 1D -- amazon/chronos-t5-large,0.5  --  3  --  AVG_VOL_P_GAIN_2_2,TP_AI_1  --  SL_AI_1, -   , 2 , -   ,73%,49%,69%, 251 , 305 , 305 , 2 
BTCUSDT -- 1D -- amazon/chronos-t5-large,0.5  --  4  --  AVG_VOL_P_GAIN_2_2,TP_AI_1  --  SL_AI_1, -   , 2 , -   ,73%,49%,69%, 251 , 305 , 305 , 2 
BTCUSDT -- 1D -- amazon/chronos-t5-large,0.5  --  5  --  AVG_VOL_P_GAIN_2_2,TP_AI_1  --  SL_AI_1, -   , 2 , -   ,73%,49%,69%, 251 , 305 , 305 , 2 
BTCUSDT -- 1D -- amazon/chronos-t5-large,0.5  --  10  --  AVG_VOL_P_GAIN_2_2,TP_AI_1  --  SL_AI_1, -   , 2 , -   ,73%,49%,69%, 251 , 305 , 305 , 2 
BTCUSDT -- 1D -- amazon/chronos-t5-large,0.5  --  3  --  AVG_VOL_P_GAIN_2_2,TP_AI_1  --  SL_ATR_1, -   , 2 , -   ,82%,49%,70%, 207 , 305 , 305 , 2 
BTCUSDT -- 1D -- amazon/chronos-t5-large,0.5  --  4  --  AVG_VOL_P_GAIN_2_2,TP_AI_1  --  SL_ATR_1, -   , 2 , -   ,82%,49%,70%, 207 , 305 , 305 , 2 
BTCUSDT -- 1D -- amazon/chronos-t5-large,0.5  --  5  --  AVG_VOL_P_GAIN_2_2,TP_AI_1  --  SL_ATR_1, -   , 2 , -   ,82%,49%,70%, 207 , 305 , 305 , 2 
BTCUSDT -- 1D -- amazon/chronos-t5-large,0.5  --  10  --  AVG_VOL_P_GAIN_2_2,TP_AI_1  --  SL_ATR_1, -   , 2 , -   ,82%,49%,70%, 207 , 305 , 305 , 2 
BTCUSDT -- 1D -- amazon/chronos-t5-large,1  --  5  --  STOCH_30,TP_AI_1  --  SL_ATR_1, 2 , -   , 1 ,67%,42%,62%, 46 , 50 , 50 , 2 
BTCUSDT -- 1D -- amazon/chronos-t5-large,1  --  10  --  STOCH_30,TP_AI_1  --  SL_ATR_1, 2 , -   , 1 ,67%,42%,62%, 46 , 50 , 50 , 2 
ETHUSDT -- 4H -- amazon/chronos-t5-large,1  --  10  --  STOCH_20,TP_AI_2  --  SL_AI_1, -   , 2 , -   ,31%,52%,29%, 231 ," 1,705 "," 1,705 ", 2 
AVAXUSDT -- 4H -- amazon/chronos-t5-large,0.75  --  4  --  STOCH_10,TP_AI_1  --  SL_AI_1, 2 , 0 , 0 ,77%,49%,67%, 665 , 801 , 801 , 2 
ETHUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  5  --  AVG_VOL_P_GAIN_1_1,TP_AI_2  --  SL_AI_1, 2 , 0 , 1 ,31%,61%,31%, 51 , 64 , 64 , 2 
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  3  --  ALL,TP_AI_1  --  SL_ATR_1, 2 , 0 , 2 ,80%,48%,68%, 543 , 739 , 739 , 2 
XRPUSDT -- 4H -- amazon/chronos-t5-large,0.75  --  3  --  ALL,TP_AI_1  --  SL_ATR_1, 2 , 0 , 2 ,80%,48%,68%, 543 , 739 , 739 , 2 
DOGEUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  10  --  AVG_VOL_P_GAIN_2_1,TP_AI_1  --  SL_ATR_1, 0 , -   , 2 ,84%,47%,72%, 200 , 363 , 363 , 2 
BTCUSDT -- 1D -- amazon/chronos-t5-large,0.5  --  5  --  ROC_2,TP_AI_2  --  SL_ATR_2, 2 , -   , 2 ,67%,46%,57%, 21 , 28 , 28 , 2 
DOGEUSDT -- 1D -- amazon/chronos-t5-small,1  --  5  --  STOCH_20,TP_AI_2  --  SL_AI_1, 2 , -   , 1 ,27%,62%,28%, 51 , 58 , 58 , 2 
ETHUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  10  --  AVG_VOL_P_GAIN_1_1,TP_AI_2  --  SL_AI_1, 2 , 0 , 1 ,32%,59%,32%, 53 , 66 , 66 , 2 
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.5  --  4  --  AVG_VOL_P_GAIN_2_2,TP_AI_1  --  SL_AI_1, 2 , 1 , 1 ,82%,49%,69%, 790 ," 1,005 "," 1,005 ", 2 
XRPUSDT -- 4H -- amazon/chronos-t5-large,0.5  --  4  --  AVG_VOL_P_GAIN_2_2,TP_AI_1  --  SL_AI_1, 2 , 1 , 1 ,82%,49%,69%, 790 ," 1,005 "," 1,005 ", 2 
DOGEUSDT -- 4H -- amazon/chronos-t5-large,1  --  4  --  STOCH_10,TP_AI_1  --  SL_ATR_1, 2 , -   , 1 ,79%,50%,70%, 343 , 463 , 463 , 2 
BTCUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  5  --  ROC_2,TP_AI_2  --  SL_ATR_2, 2 , -   , 2 ,65%,44%,56%, 20 , 27 , 27 , 2 
AVAXUSDT -- 4H -- amazon/chronos-t5-large,0.75  --  4  --  ALL,TP_AI_1  --  SL_AI_1, 2 , -   , 1 ,78%,48%,68%, 831 ," 1,022 "," 1,022 ", 2 
ADAUSDT -- 4H -- amazon/chronos-t5-small,1  --  4  --  AVG_VOL_P_GAIN_1_1,TP_AI_1  --  SL_ATR_1, 0 , 0 , 2 ,77%,46%,67%, 438 , 581 , 581 , 2 
AVAXUSDT -- 4H -- amazon/chronos-t5-large,0.75  --  5  --  AVG_VOL_P_GAIN_1_2,TP_AI_1  --  SL_AI_1, 2 , -   , 1 ,78%,49%,68%, 826 ," 1,018 "," 1,018 ", 2 
AVAXUSDT -- 4H -- amazon/chronos-t5-large,0.75  --  4  --  AVG_VOL_P_GAIN_2_2,TP_AI_1  --  SL_ATR_1, 2 , -   , 2 ,85%,47%,74%, 607 , 797 , 797 , 2 
AVAXUSDT -- 4H -- amazon/chronos-t5-large,0.75  --  5  --  AVG_VOL_P_GAIN_2_2,TP_AI_1  --  SL_ATR_1, 2 , -   , 2 ,85%,47%,74%, 607 , 797 , 797 , 2 
AVAXUSDT -- 4H -- amazon/chronos-t5-large,0.75  --  10  --  AVG_VOL_P_GAIN_2_2,TP_AI_1  --  SL_ATR_1, 2 , -   , 2 ,85%,47%,74%, 607 , 797 , 797 , 2 
DOGEUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  10  --  AVG_VOL_P_GAIN_2_2,TP_AI_1  --  SL_ATR_1, 0 , -   , 2 ,84%,47%,71%, 201 , 365 , 365 , 2 
BTCUSDT -- 1D -- amazon/chronos-t5-large,1  --  5  --  ROC_2,TP_AI_2  --  SL_ATR_2, 2 , -   , 2 ,63%,46%,54%, 19 , 26 , 26 , 2 
ADAUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  5  --  STOCH_20,TP_AI_1  --  SL_AI_1, 2 , 0 , 2 ,74%,51%,66%, 460 , 563 , 563 , 2 
DOGEUSDT -- 4H -- amazon/chronos-t5-small,1  --  3  --  ALL,TP_AI_1  --  SL_ATR_1, 2 , 0 , 0 ,80%,52%,70%, 457 , 640 , 640 , 2 
DOGEUSDT -- 1D -- amazon/chronos-t5-large,1  --  5  --  STOCH_20,TP_AI_1  --  SL_ATR_1, 0 , -   , 2 ,82%,49%,69%, 130 , 205 , 205 , 2 
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.5  --  3  --  AVG_VOL_P_GAIN_2_2,TP_AI_1  --  SL_AI_1, 2 , 1 , 1 ,82%,49%,69%, 787 ," 1,002 "," 1,002 ", 2 
XRPUSDT -- 4H -- amazon/chronos-t5-large,0.5  --  3  --  AVG_VOL_P_GAIN_2_2,TP_AI_1  --  SL_AI_1, 2 , 1 , 1 ,82%,49%,69%, 787 ," 1,002 "," 1,002 ", 2 
ETHUSDT -- 4H -- amazon/chronos-t5-large,0.5  --  10  --  ROC_3,TP_AI_2  --  SL_AI_1, -   , 2 , -   ,28%,53%,29%, 174 , 574 , 574 , 2 
AVAXUSDT -- 4H -- amazon/chronos-t5-large,0.75  --  10  --  AVG_VOL_P_GAIN_1_2,TP_AI_1  --  SL_AI_1, 2 , -   , 1 ,78%,49%,68%, 828 ," 1,020 "," 1,020 ", 2 
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.5  --  3  --  AVG_VOL_P_GAIN_2_2,TP_AI_1  --  SL_ATR_1, 2 , 1 , 2 ,85%,49%,71%, 708 ," 1,002 "," 1,002 ", 2 
XRPUSDT -- 4H -- amazon/chronos-t5-large,0.5  --  3  --  AVG_VOL_P_GAIN_2_2,TP_AI_1  --  SL_ATR_1, 2 , 1 , 2 ,85%,49%,71%, 708 ," 1,002 "," 1,002 ", 2 
BTCUSDT -- 4H -- amazon/chronos-t5-large,0.5  --  10  --  STOCH_30,TP_AI_2  --  SL_AI_1, -   , 2 , -   ,27%,50%,27%, 273 ," 1,159 "," 1,159 ", 2 
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  4  --  AVG_VOL_P_GAIN_1_2,TP_AI_1  --  SL_AI_1, 2 , 1 , 1 ,77%,48%,66%, 596 , 736 , 736 , 2 
DOGEUSDT -- 4H -- amazon/chronos-t5-small,0.5  --  5  --  STOCH_20,TP_AI_1  --  SL_ATR_1, 0 , -   , 2 ,83%,51%,70%, 653 ," 1,016 "," 1,016 ", 2 
XRPUSDT -- 4H -- amazon/chronos-t5-large,0.75  --  4  --  AVG_VOL_P_GAIN_1_2,TP_AI_1  --  SL_AI_1, 2 , 1 , 1 ,77%,48%,66%, 596 , 736 , 736 , 2 
ADAUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  4  --  AVG_VOL_P_GAIN_1_1,TP_AI_2  --  SL_AI_1, 2 , -   , 1 ,34%,39%,28%, 56 , 67 , 67 , 2 
ADAUSDT -- 4H -- amazon/chronos-t5-large,0.5  --  10  --  STOCH_20,TP_AI_1  --  SL_AI_1, 2 , -   , 1 ,80%,49%,70%, 582 , 728 , 728 , 2 
ETHUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  4  --  AVG_VOL_P_GAIN_1_2,TP_AI_2  --  SL_AI_1, 2 , 0 , 1 ,34%,51%,33%, 53 , 70 , 70 , 2 
ETHUSDT -- 4H -- amazon/chronos-t5-large,0.75  --  10  --  ALL,TP_AI_2  --  SL_ATR_2, 2 , 0 , 0 ,43%,51%,52%, 307 ," 2,834 "," 2,834 ", 2 
AVAXUSDT -- 4H -- amazon/chronos-t5-large,1  --  3  --  ROC_1,TP_AI_2  --  SL_AI_1, 0 , 2 , 0 ,32%,42%,26%, 97 , 114 , 114 , 2 
AVAXUSDT -- 4H -- amazon/chronos-t5-large,0.5  --  5  --  STOCH_20,TP_AI_1  --  SL_ATR_1, 2 , 0 , 0 ,85%,50%,70%, 629 , 901 , 901 , 2 
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  4  --  AVG_VOL_P_GAIN_1_2,TP_AI_2  --  SL_AI_1, 2 , -   , 1 ,35%,51%,34%, 55 , 61 , 61 , 2 
ADAUSDT -- 4H -- amazon/chronos-t5-small,1  --  4  --  ALL,TP_AI_1  --  SL_ATR_1, 0 , 0 , 2 ,77%,47%,66%, 446 , 594 , 594 , 2 
AVAXUSDT -- 4H -- amazon/chronos-t5-large,0.5  --  3  --  STOCH_40,TP_AI_2  --  SL_AI_1, 2 , -   , 1 ,36%,42%,32%, 61 , 79 , 79 , 2 
ADAUSDT -- 4H -- amazon/chronos-t5-small,1  --  10  --  AVG_VOL_P_GAIN_1_1,TP_AI_1  --  SL_ATR_1, 0 , 0 , 2 ,76%,47%,66%, 434 , 596 , 596 , 2 
ADAUSDT -- 4H -- amazon/chronos-t5-large,0.75  --  10  --  STOCH_20,TP_AI_2  --  SL_ATR_2, 2 , -   , 1 ,51%,51%,52%, 251 ," 1,429 "," 1,429 ", 2 
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  4  --  AVG_VOL_P_GAIN_1_1,TP_AI_1  --  SL_AI_1, 2 , 0 , 1 ,77%,48%,67%, 598 , 735 , 735 , 2 
XRPUSDT -- 4H -- amazon/chronos-t5-large,0.75  --  4  --  AVG_VOL_P_GAIN_1_1,TP_AI_1  --  SL_AI_1, 2 , 0 , 1 ,77%,48%,67%, 598 , 735 , 735 , 2 
DOGEUSDT -- 1D -- amazon/chronos-t5-small,1  --  4  --  STOCH_10,TP_AI_2  --  SL_AI_1, 2 , -   , 1 ,31%,53%,29%, 55 , 59 , 59 , 2 
DOGEUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  4  --  STOCH_10,TP_AI_1  --  SL_ATR_1, 2 , -   , 2 ,86%,47%,71%, 183 , 326 , 326 , 2 
DOGEUSDT -- 1D -- amazon/chronos-t5-large,1  --  4  --  AVG_VOL_P_GAIN_1_2,TP_AI_2  --  SL_AI_1, 2 , -   , 2 ,26%,62%,26%, 47 , 50 , 50 , 2 
ADAUSDT -- 1D -- amazon/chronos-t5-large,0.75  --  4  --  ALL,TP_AI_2  --  SL_AI_1, 2 , -   , 1 ,30%,57%,31%, 53 , 61 , 61 , 2 
ADAUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  3  --  STOCH_20,TP_AI_1  --  SL_AI_1, 1 , 0 , 2 ,74%,50%,66%, 454 , 545 , 545 , 2 
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  10  --  ALL,TP_AI_1  --  SL_ATR_1, 0 , 0 , 2 ,79%,48%,68%, 548 , 759 , 759 , 2 
ADAUSDT -- 4H -- amazon/chronos-t5-small,1  --  5  --  AVG_VOL_P_GAIN_1_1,TP_AI_1  --  SL_ATR_1, 0 , 0 , 2 ,76%,47%,66%, 436 , 591 , 591 , 2 
XRPUSDT -- 4H -- amazon/chronos-t5-large,0.75  --  10  --  ALL,TP_AI_1  --  SL_ATR_1, 0 , 0 , 2 ,79%,48%,68%, 548 , 759 , 759 , 2 
DOGEUSDT -- 1D -- amazon/chronos-t5-small,1  --  4  --  STOCH_10,TP_AI_1  --  SL_ATR_1, 2 , -   , 1 ,84%,46%,70%, 151 , 265 , 265 , 2 
AVAXUSDT -- 4H -- amazon/chronos-t5-large,0.75  --  3  --  AVG_VOL_P_GAIN_2_2,TP_AI_1  --  SL_ATR_1, 1 , -   , 2 ,85%,47%,74%, 606 , 795 , 795 , 2 
ADAUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  4  --  AVG_VOL_P_GAIN_2_2,TP_AI_1  --  SL_ATR_1, 1 , 0 , 2 ,83%,49%,72%, 523 , 692 , 692 , 2 
ADAUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  5  --  AVG_VOL_P_GAIN_2_2,TP_AI_1  --  SL_ATR_1, 1 , 0 , 2 ,83%,49%,72%, 523 , 692 , 692 , 2 
ADAUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  10  --  AVG_VOL_P_GAIN_2_2,TP_AI_1  --  SL_ATR_1, 1 , 0 , 2 ,83%,49%,72%, 523 , 692 , 692 , 2 
BTCUSDT -- 4H -- amazon/chronos-t5-large,0.75  --  5  --  ALL,TP_AI_2  --  SL_ATR_2, 2 , 0 , 0 ,46%,51%,51%, 341 ," 2,051 "," 2,051 ", 2 
ADAUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  10  --  STOCH_20,TP_AI_1  --  SL_AI_1, 1 , 0 , 2 ,74%,51%,66%, 464 , 567 , 567 , 2 
ADAUSDT -- 4H -- amazon/chronos-t5-large,0.5  --  3  --  ALL,TP_AI_1  --  SL_AI_1, 2 , 2 , 1 ,82%,49%,70%," 1,012 "," 1,374 "," 1,374 ", 2 
ADAUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  5  --  AVG_VOL_P_GAIN_1_1,TP_AI_2  --  SL_AI_1, 2 , -   , 1 ,34%,42%,30%, 59 , 69 , 69 , 2 
AVAXUSDT -- 4H -- amazon/chronos-t5-large,0.75  --  3  --  ROC_1,TP_AI_2  --  SL_AI_1, 0 , 2 , -   ,33%,42%,28%, 111 , 131 , 131 , 2 
DOGEUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  10  --  ROC_2,TP_AI_2  --  SL_AI_1, 2 , -   , 1 ,21%,50%,21%, 48 , 52 , 52 , 2 
ADAUSDT -- 4H -- amazon/chronos-t5-large,1  --  10  --  STOCH_20,TP_AI_2  --  SL_ATR_2, 2 , -   , 1 ,50%,51%,51%, 244 ," 1,364 "," 1,364 ", 2 
XRPUSDT -- 4H -- amazon/chronos-t5-small,0.5  --  4  --  AVG_VOL_P_GAIN_2_2,TP_AI_1  --  SL_ATR_1, 1 , 1 , 2 ,85%,49%,71%, 710 ," 1,005 "," 1,005 ", 2 
ADAUSDT -- 4H -- amazon/chronos-t5-small,1  --  4  --  STOCH_10,TP_AI_1  --  SL_AI_1, 1 , -   , 2 ,71%,46%,63%, 406 , 483 , 483 , 2 
XRPUSDT -- 4H -- amazon/chronos-t5-large,0.5  --  4  --  AVG_VOL_P_GAIN_2_2,TP_AI_1  --  SL_ATR_1, 1 , 1 , 2 ,85%,49%,71%, 710 ," 1,005 "," 1,005 ", 2 
ADAUSDT -- 4H -- amazon/chronos-t5-large,0.5  --  10  --  STOCH_20,TP_AI_2  --  SL_ATR_2, 2 , -   , 1 ,52%,50%,52%, 256 ," 1,486 "," 1,486 ", 2 
ETHUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  5  --  AVG_VOL_P_GAIN_1_1,TP_AI_2  --  SL_AI_1, 2 , 0 , 1 ,32%,56%,31%, 53 , 71 , 71 , 2 
DOGEUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  10  --  ROC_2,TP_AI_2  --  SL_AI_1, 2 , -   , 1 ,19%,51%,20%, 47 , 51 , 51 , 2 
ADAUSDT -- 4H -- amazon/chronos-t5-small,1  --  10  --  ALL,TP_AI_1  --  SL_ATR_1, 0 , 0 , 2 ,76%,47%,66%, 442 , 610 , 610 , 2 
DOGEUSDT -- 4H -- amazon/chronos-t5-small,0.75  --  10  --  STOCH_20,TP_AI_2  --  SL_ATR_2, 2 , -   , 2 ,50%,50%,51%, 248 ," 1,635 "," 1,635 ", 2 
ETHUSDT -- 4H -- amazon/chronos-t5-large,0.5  --  10  --  STOCH_20,TP_AI_2  --  SL_AI_1, -   , 2 , -   ,31%,52%,28%, 245 ," 1,889 "," 1,889 ", 2 
DOGEUSDT -- 1D -- amazon/chronos-t5-small,0.75  --  5  --  STOCH_10,TP_AI_1  --  SL_ATR_1, 2 , -   , 1 ,86%,48%,71%, 191 , 341 , 341 , 2 
ADAUSDT -- 4H -- amazon/chronos-t5-small,1  --  5  --  ALL,TP_AI_1  --  SL_ATR_1, 0 , 0 , 2 ,76%,47%,66%, 444 , 604 , 604 , 2 
DOGEUSDT -- 4H -- amazon/chronos-t5-small,1  --  3  --  AVG_VOL_P_GAIN_2_1,TP_AI_2  --  SL_AI_1, 2 , -   , 1 ,46%,60%,43%, 72 , 75 , 75 , 2 
ADAUSDT -- 4H -- amazon/chronos-t5-small,1  --  3  --  STOCH_10,TP_AI_1  --  SL_ATR_1, 0 , -   , 2 ,76%,46%,66%, 355 , 467 , 467 , 2 
ETHUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  10  --  AVG_VOL_P_GAIN_1_1,TP_AI_2  --  SL_AI_1, 2 , 0 , 1 ,33%,55%,32%, 55 , 73 , 73 , 2 
DOGEUSDT -- 1D -- amazon/chronos-t5-small,1  --  5  --  STOCH_10,TP_AI_1  --  SL_ATR_1, 2 , -   , 1 ,84%,47%,70%, 159 , 280 , 280 , 2 
ETHUSDT -- 4H -- amazon/chronos-t5-large,1  --  4  --  ROC_1,TP_AI_2  --  SL_AI_1, -   , 2 , -   ,23%,53%,26%, 149 , 258 , 258 , 2 
DOGEUSDT -- 4H -- amazon/chronos-t5-large,0.75  --  3  --  AVG_VOL_P_GAIN_1_1,TP_AI_1  --  SL_ATR_1, 2 , -   , 0 ,83%,49%,70%, 651 , 909 , 909 , 2 
XRPUSDT -- 1D -- amazon/chronos-t5-small,0.5  --  4  --  ALL,TP_AI_2  --  SL_AI_1, 2 , -   , 1 ,37%,51%,35%, 60 , 68 , 68 , 2 
BTCUSDT -- 4H -- amazon/chronos-t5-large,0.5  --  5  --  ALL,TP_AI_2  --  SL_ATR_2, 2 , 0 , 0 ,48%,51%,51%, 364 ," 2,194 "," 2,194 ", 2 
ETHUSDT -- 4H -- amazon/chronos-t5-large,0.5  --  10  --  ALL,TP_AI_2  --  SL_ATR_2, 2 , 0 , 0 ,45%,51%,52%, 321 ," 2,958 "," 2,958 ", 2 
ADAUSDT -- 4H -- amazon/chronos-t5-large,1  --  3  --  AVG_VOL_P_GAIN_2_1,TP_AI_2  --  SL_AI_1, 2 , -   , 2 ,33%,53%,35%, 54 , 57 , 57 , 2 
